nu,[0]CH4-HITRAN:X=0.0001-T=300K-P=0.13157894736842105atm-L=100cm
2505.14,1.7770102280912916e-7
2505.15,9.331417152483294e-8
2505.16,7.210894486157817e-8
2505.17,6.536005173075516e-8
2505.18,6.436942075586258e-8
2505.19,6.867154136869083e-8
2505.2,8.31478916980498e-8
2505.21,1.4148843376443094e-7
2505.22,3.692876966633486e-7
2505.23,2.805013603998928e-7
2505.24,3.1240422732448874e-7
2505.25,8.313436997234323e-7
2505.26,4.613400599897574e-7
2505.27,1.5264127350211614e-7
2505.28,8.545932227334231e-8
2505.29,6.289300300711646e-8
2505.3,5.368196398272825e-8
2505.31,5.3471335234769145e-8
2505.32,6.24936855141013e-8
2505.33,5.113145337957432e-8
2505.34,4.329390473249725e-8
2505.35,3.972680741122974e-8
2505.36,3.8602398911959636e-8
2505.37,4.399504846175423e-8
2505.38,7.559763379051191e-8
2505.39,8.379349798707799e-8
2505.4,4.302487925231739e-8
2505.41,3.302165651040791e-8
2505.42,2.998044601997902e-8
2505.43,2.8394409227305104e-8
2505.44,2.7686830323090593e-8
2505.45,2.8323806257386367e-8
2505.46,3.194765347787181e-8
2505.47,3.0445472495811103e-8
2505.48,2.628628838062225e-8
2505.49,2.488926451492341e-8
2505.5,2.439771814363851e-8
2505.51,2.4331241317973358e-8
2505.52,2.483024294804333e-8
2505.53,2.8896178423438355e-8
2505.54,3.833736213145539e-8
2505.55,2.8156937400604416e-8
2505.56,2.4926700237045495e-8
2505.57,2.6265577724665187e-8
2505.58,3.75791023143816e-8
2505.59,4.370973711912553e-8
2505.6,2.8979612130242543e-8
2505.61,3.170773305336888e-8
2505.62,3.883553964993125e-8
2505.63,2.6063070486162136e-8
2505.64,2.2117070530902885e-8
2505.65,2.102014484582911e-8
2505.66,2.0591543127232845e-8
2505.67,2.0514383735658568e-8
2505.68,2.0607802454785722e-8
2505.69,2.0566764947214742e-8
2505.7,2.0972745649154364e-8
2505.71,2.1978937023222666e-8
2505.72,2.5147751975054127e-8
2505.73,2.8938337478683083e-8
2505.74,3.910203048971974e-8
2505.75,2.98895799248308e-8
2505.76,2.7072477515407854e-8
2505.77,2.8757621364725637e-8
2505.78,3.3508157477227394e-8
2505.79,4.35892822455657e-8
2505.8,6.72694032010718e-8
2505.81,1.5036441823034681e-7
2505.82,4.888765199730104e-7
2505.83,4.2776355947138697e-7
2505.84,2.7637624056022104e-7
2505.85,1.7455009706673666e-7
2505.86,7.475685117261453e-8
2505.87,5.4536027959629445e-8
2505.88,4.987318615889518e-8
2505.89,3.519650466399592e-8
2505.9,3.061820743854974e-8
2505.91,3.472454417679107e-8
2505.92,3.6759724607106316e-8
2505.93,3.3433532612884126e-8
2505.94,4.655193250432082e-8
2505.95,1.0263583920993435e-7
2505.96,1.2968510418238146e-7
2505.97,5.8340805889475757e-8
2505.98,3.2788307495945504e-8
2505.99,2.5087372938432525e-8
